Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	Y	MT	GL000207.1	GL000226.1	GL000229.1	GL000231.1	GL000210.1	GL000239.1	GL000235.1	GL000201.1	GL000247.1	GL000245.1	GL000197.1	GL000203.1	GL000246.1	GL000249.1	GL000196.1	GL000248.1	GL000244.1	GL000238.1	GL000202.1	GL000234.1	GL000232.1	GL000206.1	GL000240.1	GL000236.1	GL000241.1	GL000243.1	GL000242.1	GL000230.1	GL000237.1	GL000233.1	GL000204.1	GL000198.1	GL000208.1	GL000191.1	GL000227.1	GL000228.1	GL000214.1	GL000221.1	GL000209.1	GL000218.1	GL000220.1	GL000213.1	GL000211.1	GL000199.1	GL000217.1	GL000216.1	GL000215.1	GL000205.1	GL000219.1	GL000224.1	GL000223.1	GL000195.1	GL000212.1	GL000222.1	GL000200.1	GL000193.1	GL000194.1	GL000225.1	GL000192.1	*
CHH10896	13894502	12932090	7715278	6438337	7178880	6627267	7619196	5180513	6758899	6464215	6290960	6275146	2904839	4019214	5682799	6058614	6447360	2329402	5142221	2568763	1642866	2670313	7900930	69132	35972	40	16317	4569	6449	68	1602	569	2204	1586	472	783	265	1465	2928	3125	131	7144	7891	146	3253	2247	110	920	2668	34070	1483	4563	3651	7008	253	635	2490	2354	9417	9934	11467	138816	90872	34016	24730	105016	29083	126829	27176	18409	12730	4134	13176	29997	17957	16278	9661	103970	24349	1192	11042	15443	12418	50572	0
CHH10897	11741663	10871860	6514988	5411360	6052404	5602727	6422813	4211235	5711937	5449626	5314021	5300690	2445173	3418021	4852180	5161228	5415766	1955533	4330875	2157507	1377436	2203323	6608987	55369	26305	38	16504	3863	5615	42	1007	420	1773	1132	356	666	179	1008	2570	2718	92	6909	6773	136	2553	1802	81	1540	2589	29916	1006	3517	4986	5614	314	545	1728	1646	9297	11170	8669	117632	74338	21899	15451	80659	20292	104995	17074	14189	9425	3777	11331	29418	15033	13786	7800	80979	18843	1034	9088	17498	10530	43469	0
CHH10898	10675021	10031046	5976191	4998499	5570803	5113949	5879625	3994077	5333097	4975314	4876379	4885726	2253358	3138226	4672480	4657878	4836874	1805523	3907488	1957440	1253621	2135106	3160954	1169173	24092	24	11705	3391	4887	70	946	502	1564	1125	306	629	158	845	2350	2469	57	5140	6648	132	2355	1694	86	1189	1961	26542	1032	3259	4830	4424	309	523	1478	1627	8541	4660	7885	106467	67735	19438	15516	81109	23723	98295	20827	14457	8444	3054	10259	20156	11422	12566	7712	74748	19007	982	6652	12309	10008	38607	0
CHH10900	12471754	11429088	6841209	5625458	6076691	5881539	7033439	4401680	6209210	5704507	5654598	5591982	2572251	3694161	5409745	5507005	5629765	2055754	4636155	2289792	1452315	2356671	7089775	63430	27088	39	17025	3806	5405	54	1255	494	1896	1197	352	713	143	790	2671	2940	65	9307	7899	113	2629	1744	108	1601	3322	29224	1206	3713	7461	7165	504	580	1394	2208	9267	7771	9139	107794	83170	13310	13032	109025	21714	105893	20673	12552	9181	3769	11627	22470	13593	13487	8406	84250	21357	1428	7243	20486	9256	44600	0
CHH10901	11963532	11033083	6613271	5397461	6068652	5674218	6692281	4307570	5829749	5517679	5454647	5414701	2474171	3486785	5475483	5256507	5683371	1987397	4489827	2211223	1398397	2286569	3508799	1269277	24693	36	18442	3708	5583	65	1305	432	1840	1004	269	651	195	1013	2592	2655	69	6541	7664	118	2455	1696	94	567	3063	29620	1001	3498	7022	7326	480	593	1751	2177	10005	7660	8634	120545	74598	22084	14417	95240	27004	101083	16389	18570	8309	3549	10561	22900	13702	13443	8638	89214	19630	1208	7063	18635	9476	41646	0
CHH10902	11358280	10467454	6226284	5206667	5703596	5345053	6343525	3896531	5483717	5157974	5098915	5069776	2335866	3281372	4852151	4990621	5032678	1888816	4170363	2056463	1303203	2157291	3240792	1279023	33292	23	14629	3927	5469	36	976	358	1621	718	282	628	136	629	2460	2532	66	6492	7570	131	2467	1601	50	827	2091	28572	725	3624	2607	5840	174	544	1539	2278	7867	5722	7478	102239	74472	11179	20926	74368	21159	104913	21572	14372	8287	3256	11012	41008	21898	13450	7788	82490	13176	1120	9175	11602	10455	39895	0
CHH10903	13280065	12252846	7303226	6073926	6815924	6266646	7363798	4794498	6246175	6063824	5995961	5979059	2753075	3845470	5954323	5867180	5937154	2206184	4939944	2422483	1523370	2521763	7609696	60351	44013	41	17015	4326	6002	94	1322	502	2023	835	386	755	165	1148	2682	2970	93	8182	8811	146	2861	1863	113	789	2706	31574	919	4279	1067	8511	67	608	1609	2914	9275	10621	9243	119608	85011	12749	17486	83020	27971	119194	25070	19128	8671	3813	12949	35693	21437	15797	9868	115828	16200	1003	8304	18347	11010	47639	0
CHH10904	11526347	10535022	6281036	5201109	5760363	5369555	6355584	3940326	5502420	5211415	5148029	5124823	2354588	3311435	5060039	4936642	5042047	1888060	4213449	2082828	1313539	2138841	3303629	1279110	30161	22	12751	3852	5577	36	1076	462	1661	946	326	635	168	931	2356	2529	73	6614	7687	120	2631	1560	70	737	1996	27900	994	3733	2704	5168	188	600	1505	2099	9109	6168	7799	104355	69312	10751	18829	76963	21799	99074	18909	12267	8030	3417	11103	39702	22301	13638	7619	85726	14397	1070	8978	11040	11085	39825	0
CHH11657	10957295	9437943	5891214	4437190	5204716	5093503	6230586	3779215	5194071	5010817	5168971	4903181	2029399	3157731	4791866	5172787	5539769	1693839	4604319	2233079	1202176	2341849	3329820	1057137	22178	44	13128	3310	1983	43	1092	505	2292	957	215	853	96	863	2136	2775	69	6410	7263	108	1764	1235	110	1880	2059	12500	951	4870	4535	5782	394	510	1040	2072	8315	3843	8842	45770	32146	11167	13528	93730	15566	51076	23841	10620	7810	2861	7060	12638	14462	15773	5678	66438	15683	729	5485	11601	11484	47329	0
CHH11686	14482637	12728359	7899597	6220186	7049714	6812719	8172573	5449478	6885894	6567256	6903904	6603801	2838065	4348841	6433818	6818266	7157388	2318701	6043550	2858054	1647220	2974895	4043934	1386979	27557	40	16026	4049	3747	47	2000	641	2881	1171	355	805	174	1074	2654	3323	100	13565	10273	126	2714	1911	90	2623	2417	24736	1073	5937	7162	9487	437	431	1485	2772	10534	6854	10458	98812	71414	23786	25285	111366	25645	95302	35233	15484	10213	4263	11139	22196	16281	18348	8506	94351	21413	1095	6827	15535	12873	54514	0
